mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_top10_full,Fixed Top-10,fixed_top10,full,185,10,3603,80,3683,provider,3093,0.131148,1.0,0.359092,0.0,0.0,"[""5864770"", ""2140497"", ""32534305"", ""4886637"", ""21874312"", ""25973484"", ""52188256"", ""23557241"", ""313403"", ""17088791""]","The evidence is insufficient to support the claim that breast cancer development is determined exclusively by genetic factors. While some documents mention genetic factors, such as BRCA1 variants (Document 10), others highlight the role of non-genetic factors, including hormonal influences (Document 1), mammographic breast density (Document 2), type 2 diabetes (Documents 3 and 4), obesity (Document",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,185,3,747,80,827,provider,6162,0.121212,1.0,0.396059,0.0,0.0,"[""5864770"", ""2140497"", ""32534305""]","The evidence is insufficient to support the claim that breast cancer development is determined exclusively by genetic factors. The provided documents suggest that various non-genetic factors, such as hormone levels (estrogens and progestogens), breast density, lobular involution, and type 2 diabetes, are associated with breast cancer risk. While family history of breast cancer is mentioned as a factor in Document 3,",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,185,3,1365,80,1445,provider,2788,0.117647,1.0,0.417815,0.0,0.0,"[""5864770"", ""2140497"", ""32534305""]","The evidence is insufficient to support the claim that breast cancer development is determined exclusively by genetic factors. The provided documents suggest that various non-genetic factors, such as hormonal influences (estrogens and progestogens), breast density, lobular involution, and type 2 diabetes, are associated with an increased risk of breast cancer. These findings imply that breast cancer development is likely the result of a",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,185,5,975,80,1055,provider,3091,0.121212,1.0,0.42521,0.0,0.0,"[""5864770"", ""2140497"", ""32534305"", ""4886637"", ""21874312""]","The evidence is insufficient to support the claim that breast cancer development is determined exclusively by genetic factors. The provided documents suggest that various non-genetic factors, such as hormone levels (estrogens and progestogens), breast density, lobular involution, type 2 diabetes, and metabolic syndrome, are associated with breast cancer risk. While genetic factors are not explicitly mentioned in the documents, the presence",False,,1055,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,185,3,747,80,827,provider,3229,0.121212,1.0,0.396059,0.0,0.0,"[""5864770"", ""2140497"", ""32534305""]","The evidence is insufficient to support the claim that breast cancer development is determined exclusively by genetic factors. The provided documents suggest that various non-genetic factors, such as hormones (estrogens and progestogens), breast density, lobular involution, and type 2 diabetes, are associated with breast cancer risk. While family history of breast cancer is mentioned as a factor in Document 3, it",False,,827,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,198,10,3032,80,3112,provider,5509,0.129032,1.0,0.404061,0.5,0.333333,"[""13949015"", ""20148808"", ""2177022"", ""13778710"", ""40590358"", ""42731834"", ""33569870"", ""5289038"", ""42279414"", ""24921368""]","The evidence is insufficient to determine whether CCL19 is absent within dLNs (draining lymph nodes). While Document 2 mentions that DCs exposed to SCFAs are less motile in response to CCL19 in vitro, and Document 3 discusses the role of CCL19 in chemotactic movement, none of the documents provide direct information about the presence or absence of CCL",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,198,3,705,80,785,provider,2339,0.123077,1.0,0.394132,0.5,0.333333,"[""13949015"", ""20148808"", ""2177022""]","The evidence is insufficient to determine if CCL19 is absent within dLNs (draining lymph nodes). The provided documents mention CCL19, but they do not contain information about its presence or absence within dLNs. They discuss the role of CCL19 in dendritic cell migration and its interaction with CCR7, but do not provide direct evidence regarding its presence or absence in d",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,198,3,819,80,899,provider,2417,0.126984,1.0,0.329252,0.5,0.333333,"[""13949015"", ""20148808"", ""2177022""]",The evidence is insufficient to determine if CCL19 is absent within dLNs (draining lymph nodes). The documents provided do not contain enough information to confirm the presence or absence of CCL19 within dLNs. While Document 2 mentions that DCs exposed to SCFAs exhibit a dampened ability to transport inhaled allergens to lung draining nodes in response to CCL19 in,False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,198,5,1275,80,1355,provider,2463,0.126984,1.0,0.458349,0.5,0.333333,"[""13949015"", ""20148808"", ""2177022"", ""13778710"", ""40590358""]","The evidence is insufficient to conclude that CCL19 is absent within dLNs (draining lymph nodes). The documents provided discuss the role of CCL19 in various immune responses and its interaction with dendritic cells, but they do not mention the absence of CCL19 within dLNs. Therefore, it is not possible to determine the presence or absence of CCL19 in dLNs",False,,1355,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,198,3,705,80,785,provider,2217,0.123077,1.0,0.394132,0.5,0.333333,"[""13949015"", ""20148808"", ""2177022""]","The evidence is insufficient to determine whether CCL19 is absent within dLNs (draining lymph nodes). The provided documents mention CCL19, but they do not contain information about its presence or absence within dLNs. They discuss the role of CCL19 in dendritic cell migration and its interaction with CCR7, but do not provide direct evidence regarding its presence or absence in d",False,,785,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,212,10,3392,80,3472,provider,2326,0.302326,0.55,0.537086,0.0,0.0,"[""7808055"", ""4414481"", ""11935250"", ""663464"", ""3346812"", ""39801095"", ""14475235"", ""4434951"", ""42387637"", ""4679264""]","The evidence is insufficient to determine if CR (Calorie Restriction) is associated with higher methylation age. While Document 8 mentions that calorie restriction suppresses some age-associated methylation changes, it does not specifically state that CR is associated with higher methylation age. In fact, the document suggests that CR may have a beneficial effect on the epigenome, which could potentially lead to a lower",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,212,3,505,79,584,provider,2266,0.243902,0.45,0.411377,0.0,0.0,"[""7808055"", ""4414481"", ""11935250""]","The evidence is insufficient. The provided documents do not contain information that directly associates Calorie Restriction (CR) with higher methylation age. While Document 1 discusses DNA methylation age and its relationship to cancer, and Document 2 discusses the effects of Calorie Restriction (CR) on lifespan, there is no direct connection made between CR and methylation age in the provided documents.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,212,3,969,80,1049,provider,2270,0.168675,0.3,0.323103,0.0,0.0,"[""7808055"", ""4414481"", ""11935250""]","The evidence is insufficient. The provided documents do not contain information about the relationship between Calorie Restriction (CR) and methylation age. While Document 1 discusses DNA methylation age and its properties, and Document 2 talks about Calorie Restriction (CR) and its effects on lifespan, there is no direct connection made between CR and methylation age in the provided documents. Document 3",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,212,5,765,76,841,provider,2273,0.238095,0.45,0.404095,0.0,0.0,"[""7808055"", ""4414481"", ""11935250"", ""663464"", ""3346812""]","The evidence is insufficient. The provided documents do not contain information that directly associates Calorie Restriction (CR) with higher methylation age. While some documents discuss DNA methylation age and its relationship to aging and cancer, none of them mention CR in this context. Therefore, it is not possible to determine the relationship between CR and methylation age based on the provided documents.",False,,841,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,212,3,505,79,584,provider,2269,0.243902,0.45,0.411377,0.0,0.0,"[""7808055"", ""4414481"", ""11935250""]","The evidence is insufficient. The provided documents do not contain information that directly associates Calorie Restriction (CR) with higher methylation age. While Document 1 discusses DNA methylation age and its relationship to cancer, and Document 2 discusses the effects of Calorie Restriction (CR) on lifespan, there is no direct connection made between CR and methylation age in the provided documents.",False,,584,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,213,10,4712,80,4792,provider,2577,0.117647,1.0,0.429058,0.315465,0.125,"[""27054878"", ""20887554"", ""21048969"", ""750781"", ""40156901"", ""9334631"", ""9846940"", ""13625993"", ""20130904"", ""18872233""]","The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. The provided documents do not contain direct evidence to support or refute this statement. While some documents discuss the relationship between CRP levels and outcomes after cardiac surgery, they do not specifically address the predictive value of CRP for postoperative mortality after CAB",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,213,3,728,80,808,provider,3187,0.133333,1.0,0.417029,0.0,0.0,"[""27054878"", ""20887554"", ""21048969""]","The evidence is insufficient to support the statement that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. In fact, the provided documents suggest the opposite: that preoperative CRP levels are associated with increased morbidity and mortality after cardiac surgery, including CABG. 

Document 1 states that preoperative CRP levels more than",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,213,3,1438,80,1518,provider,5930,0.125,1.0,0.441261,0.0,0.0,"[""27054878"", ""20887554"", ""21048969""]","The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. In fact, the provided documents suggest the opposite: that preoperative CRP levels are associated with increased long-term mortality and extended hospital length of stay after CABG surgery. However, the question asks about postoperative mortality, and the documents primarily",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,213,5,1311,80,1391,provider,6291,0.131148,1.0,0.329293,0.0,0.0,"[""27054878"", ""20887554"", ""21048969"", ""750781"", ""40156901""]","The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. In fact, the provided documents suggest that high preoperative CRP levels are associated with increased morbidity and mortality after cardiac surgery, including CABG. 

Document 1 states that preoperative CRP levels more than 10 mg/l have",False,,1391,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,213,3,728,80,808,provider,6166,0.133333,1.0,0.417029,0.0,0.0,"[""27054878"", ""20887554"", ""21048969""]","The evidence is insufficient to support the statement that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. In fact, the provided documents suggest the opposite: that preoperative CRP levels are associated with increased morbidity and mortality after cardiac surgery, including CABG. 

Document 1 states that preoperative CRP levels more than",False,,808,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,216,10,3319,75,3394,provider,2675,0.352941,0.785714,0.566393,1.0,1.0,"[""21366394"", ""10831818"", ""18834078"", ""21363424"", ""8639034"", ""23460562"", ""14311986"", ""6961811"", ""36271512"", ""13636631""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells impairs T cell survival. In fact, Document 1 suggests that CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs. Therefore, the available information indicates that CX3CR1 has a positive effect on T cell survival, rather than an impairing effect.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,216,3,626,73,699,provider,2172,0.298507,0.642857,0.546999,1.0,1.0,"[""21366394"", ""10831818"", ""18834078""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells impairs T cell survival. In fact, Document 1 suggests the opposite, stating that CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs. There is no mention of CX3CR1 impairing T cell survival in any of the provided documents.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,216,3,958,50,1008,provider,1653,0.367347,0.571429,0.561084,1.0,1.0,"[""21366394"", ""10831818"", ""18834078""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells impairs T cell survival. In fact, Document 1 suggests the opposite: CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,216,5,1220,69,1289,provider,2061,0.3125,0.642857,0.528145,1.0,1.0,"[""21366394"", ""10831818"", ""18834078"", ""21363424"", ""8639034""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells impairs T cell survival. In fact, Document 1 suggests that CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs. There is no mention of CX3CR1 impairing T cell survival in any of the provided documents.",False,,1289,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,216,3,626,73,699,provider,1998,0.298507,0.642857,0.546999,1.0,1.0,"[""21366394"", ""10831818"", ""18834078""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells impairs T cell survival. In fact, Document 1 suggests the opposite, stating that CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs. There is no mention of CX3CR1 impairing T cell survival in any of the provided documents.",False,,699,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,219,10,3537,80,3617,provider,2158,0.32,0.785714,0.504307,1.0,1.0,"[""21366394"", ""20311968"", ""6417632"", ""888896"", ""8639034"", ""15381976"", ""696006"", ""7281161"", ""21363424"", ""14311986""]","The evidence is insufficient to support the claim that CX3CR1 on the Th2 cells suppresses airway inflammation. In fact, Document 1 suggests that CX3CR1 promotes T helper cell survival and maintenance in inflamed lung, and its deficiency or blockade reduces lung disease and airway inflammation in a mouse model of asthma. This implies that CX3CR1 may actually contribute to airway",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,219,3,624,80,704,provider,2238,0.333333,0.785714,0.68869,1.0,1.0,"[""21366394"", ""20311968"", ""6417632""]","The evidence is insufficient to conclude that CX3CR1 on the Th2 cells suppresses airway inflammation. In fact, Document 1 suggests the opposite: CX3CR1 promotes T(H)2 survival in the inflamed lungs and is required for airway inflammation. There is no evidence in the provided documents to support the claim that CX3CR1 on Th2 cells suppresses airway",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,219,3,1028,80,1108,provider,2274,0.324324,0.785714,0.580767,1.0,1.0,"[""21366394"", ""20311968"", ""6417632""]","The evidence is insufficient to support the claim that CX3CR1 on the Th2 cells suppresses airway inflammation. In fact, Document 1 suggests the opposite: CX3CR1 promotes T helper cell survival and maintenance in inflamed lung, and its deficiency or blockade reduces lung disease and airway inflammation in a mouse model of asthma. Therefore, the available evidence suggests that CX3CR1",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,219,5,2920,160,3080,provider,4499,0.383562,0.928571,0.594564,1.0,1.0,"[""21366394"", ""20311968"", ""6417632"", ""888896"", ""8639034""]","The evidence is insufficient to support the claim that CX3CR1 on the Th2 cells suppresses airway inflammation. In fact, Document 1 suggests that CX3CR1 promotes T helper cell survival and maintenance in inflamed lung, and that CX3CR1 signaling promotes T(H)2 survival in the inflamed lungs, which would actually contribute to airway inflammation rather than suppressing it.",True,"top_5_compact:weak_phrase:no evidence,verbose_answer",1144,1936
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,219,3,1652,160,1812,provider,14211,0.324324,0.785714,0.580767,1.0,1.0,"[""21366394"", ""20311968"", ""6417632""]","The evidence is insufficient to support the claim that CX3CR1 on the Th2 cells suppresses airway inflammation. In fact, Document 1 suggests the opposite: CX3CR1 promotes T helper cell survival and maintenance in inflamed lung, and its deficiency or blockade reduces lung disease and airway inflammation in a mouse model of asthma. Therefore, the available evidence suggests that CX3CR1",True,top_3_compact:weak_phrase:no evidence,704,1108
fixed_top10_full,Fixed Top-10,fixed_top10,full,236,10,2797,78,2875,provider,3268,0.126984,1.0,0.394132,1.0,1.0,"[""4388470"", ""86129154"", ""464511"", ""6913227"", ""36708463"", ""16267205"", ""28390999"", ""29641682"", ""40971746"", ""4457834""]","The evidence is insufficient to confirm that cell autonomous sex determination in somatic cells occurs in Passeriformes. While Document 1 discusses cell-autonomous sex determination in chickens, which are birds, it does not specifically mention Passeriformes, which is an order of birds that includes perching birds and songbirds. Therefore, the information provided is not sufficient to confirm the statement.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,236,3,461,80,541,provider,7597,0.09375,0.75,0.312772,1.0,1.0,"[""4388470"", ""86129154"", ""464511""]","The provided documents do not specifically mention Passeriformes. However, Document 1 mentions that ""avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous."" Since Passeriformes are birds, this information can be indirectly related to the question. 

Therefore, based on the available information, the evidence suggests that cell autonomous sex determination in som",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,236,3,789,80,869,provider,2376,0.125,1.0,0.306186,1.0,1.0,"[""4388470"", ""86129154"", ""464511""]","The evidence is insufficient to confirm that cell autonomous sex determination in somatic cells occurs in Passeriformes. 

Although Document 1 discusses cell-autonomous sex determination in birds (chickens), it does not specifically mention Passeriformes, which is an order of birds that includes perching birds and songbirds. Without more specific information, it cannot be confirmed that the same mechanism applies to",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,236,5,731,76,807,provider,2836,0.126984,1.0,0.406138,1.0,1.0,"[""4388470"", ""86129154"", ""464511"", ""6913227"", ""36708463""]","The provided documents do not contain enough evidence to confirm that cell autonomous sex determination in somatic cells occurs in Passeriformes. Although Document 1 mentions that avian somatic cells possess an inherent sex identity and that sexual differentiation is substantively cell autonomous in birds, it does not specifically mention Passeriformes. Therefore, the evidence is insufficient to answer the question.",False,,807,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,236,3,461,80,541,provider,2318,0.09375,0.75,0.312772,1.0,1.0,"[""4388470"", ""86129154"", ""464511""]","The provided documents do not specifically mention Passeriformes. However, Document 1 mentions that ""avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous."" Since Passeriformes are birds, this information can be indirectly related to the question. 

Therefore, based on the available information, the evidence suggests that cell autonomous sex determination in som",False,,541,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,237,10,3191,80,3271,provider,2260,0.129032,1.0,0.472456,1.0,1.0,"[""4942718"", ""34386619"", ""680949"", ""12881593"", ""12824568"", ""2851611"", ""24706198"", ""5473074"", ""21943141"", ""27373088""]","The evidence is insufficient. None of the provided documents mention the effect of lacking clpC on sporulation efficiency in Bacillus subtilis. While some documents discuss the clpC operon and its regulation, as well as sporulation in Bacillus subtilis, there is no direct connection made between clpC and sporulation efficiency. Therefore, it is not possible to answer the question",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,237,3,567,80,647,provider,2178,0.133333,1.0,0.421464,1.0,1.0,"[""4942718"", ""34386619"", ""680949""]","The evidence is insufficient. The provided documents do not contain information about the effect of lacking clpC on sporulation efficiency in Bacillus subtilis. While Document 1 mentions sporulation in Bacillus subtilis and Document 2 discusses the clpC operon, there is no direct connection made between clpC and sporulation efficiency. Document 3 is about sporulation in budding",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,237,3,1086,80,1166,provider,2170,0.131148,1.0,0.46225,1.0,1.0,"[""4942718"", ""34386619"", ""680949""]","The evidence is insufficient. The provided documents do not mention the effect of lacking clpC on sporulation efficiency in Bacillus subtilis. While Document 1 discusses sporulation genes in Bacillus subtilis and Document 2 discusses the clpC operon, there is no direct connection made between clpC and sporulation efficiency. Document 3 is about budding yeast and is not",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,237,5,1005,73,1078,provider,2119,0.145455,1.0,0.419314,1.0,1.0,"[""4942718"", ""34386619"", ""680949"", ""12881593"", ""12824568""]","The evidence is insufficient. The provided documents do not contain information about the effect of lacking clpC on sporulation efficiency in Bacillus subtilis. While some documents mention the clpC operon and its regulation, as well as sporulation in Bacillus subtilis, there is no direct connection made between clpC and sporulation efficiency.",False,,1078,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,237,3,567,80,647,provider,2203,0.133333,1.0,0.421464,1.0,1.0,"[""4942718"", ""34386619"", ""680949""]","The evidence is insufficient. The provided documents do not contain information about the effect of lacking clpC on sporulation efficiency in Bacillus subtilis. While Document 1 mentions sporulation in Bacillus subtilis and Document 2 discusses the clpC operon, there is no direct connection made between clpC and sporulation efficiency. Document 3 is about sporulation in budding",False,,647,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,248,10,2740,76,2816,provider,2588,0.266667,1.0,0.552907,0.5,0.333333,"[""23369842"", ""25050364"", ""1568684"", ""9796495"", ""21993510"", ""45154987"", ""1590744"", ""38533515"", ""14865329"", ""13441037""]","The evidence is sufficient to answer the question. According to Document 3, treatment with chenodeoxycholic acid (CDCA) for 2 days resulted in increased brown adipose tissue activity and whole-body energy expenditure in healthy female subjects. Therefore, the answer to the question is: Yes, chenodeoxycholic acid treatment increases whole-body energy expenditure.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,248,3,601,62,663,provider,4115,0.32,1.0,0.624695,0.5,0.333333,"[""23369842"", ""25050364"", ""1568684""]","The evidence is sufficient to answer the question. According to Document 3, treatment with Chenodeoxycholic acid (CDCA) increases whole-body energy expenditure in healthy female subjects. Therefore, the answer to the question is: Yes, Chenodeoxycholic acid treatment increases whole-body energy expenditure.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,248,3,1021,79,1100,provider,5894,0.242424,1.0,0.701561,0.5,0.333333,"[""23369842"", ""25050364"", ""1568684""]","The evidence from Document 3 indicates that Chenodeoxycholic acid (CDCA) treatment increases whole-body energy expenditure in healthy female subjects. The study found that treatment with CDCA for 2 days resulted in increased brown adipose tissue activity and whole-body energy expenditure. Therefore, the answer to the question is yes, Chenodeoxycholic acid treatment increases whole-body energy expenditure.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,248,5,878,62,940,provider,3052,0.32,1.0,0.624695,0.5,0.333333,"[""23369842"", ""25050364"", ""1568684"", ""9796495"", ""21993510""]","The evidence is sufficient to answer the question. According to Document 3, treatment with Chenodeoxycholic acid (CDCA) increases whole-body energy expenditure in healthy female subjects. Therefore, the answer to the question is: Yes, Chenodeoxycholic acid treatment increases whole-body energy expenditure.",False,,940,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,248,3,601,62,663,provider,4314,0.32,1.0,0.624695,0.5,0.333333,"[""23369842"", ""25050364"", ""1568684""]","The evidence is sufficient to answer the question. According to Document 3, treatment with Chenodeoxycholic acid (CDCA) increases whole-body energy expenditure in healthy female subjects. Therefore, the answer to the question is: Yes, Chenodeoxycholic acid treatment increases whole-body energy expenditure.",False,,663,0
